Flows,Scheme,Run,Value
90,MCOP,13,0.059868
90,MCOP,14,0.059529
90,MCOP,15,0.052654
90,MCOP,16,0.065157
90,MCOP,17,0.065149
90,MCOP,18,0.056048
90,MCOP,19,0.063869
90,MCOP,20,0.064574
10,DSP,1,0.006018
10,DSP,2,0.005545
10,DSP,3,0.006774
10,DSP,4,0.006183
10,DSP,5,0.00588
10,DSP,6,0.006371
10,DSP,7,0.006779
10,DSP,8,0.005761
10,DSP,9,0.006332
10,DSP,10,0.006933
10,DSP,11,0.005464
10,DSP,12,0.005736
10,DSP,13,0.005713
10,DSP,14,0.005924
10,DSP,15,0.005899
10,DSP,16,0.006144
10,DSP,17,0.005606
10,DSP,18,0.005701
10,DSP,19,0.006145
10,DSP,20,0.006074
30,DSP,1,0.025678
30,DSP,2,0.024786
30,DSP,3,0.025482
30,DSP,4,0.021806
30,DSP,5,0.023264
30,DSP,6,0.027549
30,DSP,7,0.024753
30,DSP,8,0.025435
30,DSP,9,0.024524
30,DSP,10,0.024817
30,DSP,11,0.023557
30,DSP,12,0.030857
30,DSP,13,0.023239
30,DSP,14,0.023926
30,DSP,15,0.019344
30,DSP,16,0.026124
30,DSP,17,0.02294
30,DSP,18,0.023883
30,DSP,19,0.022986
30,DSP,20,0.023734
50,DSP,1,0.043977
50,DSP,2,0.044845
50,DSP,3,0.04481
50,DSP,4,0.044445
50,DSP,5,0.044396
50,DSP,6,0.049711
50,DSP,7,0.048173
50,DSP,8,0.048195
50,DSP,9,0.042363
50,DSP,10,0.049525
50,DSP,11,0.049074
50,DSP,12,0.043008
50,DSP,13,0.050486
50,DSP,14,0.04254
50,DSP,15,0.038369
50,DSP,16,0.048965
50,DSP,17,0.04457
50,DSP,18,0.048517
50,DSP,19,0.042285
50,DSP,20,0.040458
70,DSP,1,0.06811
70,DSP,2,0.05502
70,DSP,3,0.054257
70,DSP,4,0.052449
70,DSP,5,0.048139
70,DSP,6,0.056846
70,DSP,7,0.05124
70,DSP,8,0.061823
70,DSP,9,0.050907
70,DSP,10,0.056572
70,DSP,11,0.073567
70,DSP,12,0.063712
70,DSP,13,0.062262
70,DSP,14,0.053961
70,DSP,15,0.060782
70,DSP,16,0.062239
70,DSP,17,0.054038
70,DSP,18,0.062626
70,DSP,19,0.067909
70,DSP,20,0.060273
90,DSP,1,0.065943
90,DSP,2,0.056054
90,DSP,3,0.0595
90,DSP,4,0.072669
90,DSP,5,0.063454
90,DSP,6,0.062017
90,DSP,7,0.063288
90,DSP,8,0.066692
90,DSP,9,0.060791
90,DSP,10,0.067678
90,DSP,11,0.05971
90,DSP,12,0.071149
90,DSP,13,0.061334
90,DSP,14,0.074077
90,DSP,15,0.066946
90,DSP,16,0.062467
90,DSP,17,0.071885
90,DSP,18,0.059633
90,DSP,19,0.064068
90,DSP,20,0.067
